	(1)	(2)	(3)	(4)	(5)	(6)	(7)
	[0.013]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]
hisp_male	-0.164***	-0.018	-0.019	-0.016	-0.022	-0.017	-0.022
	[0.019]	[0.018]	[0.018]	[0.019]	[0.018]	[0.019]	[0.018]
hisp_female	-0.067***	0.086***	0.083***	0.080***	0.064***	0.079***	0.064***
	[0.019]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]
black_male	-0.313***	-0.092***	-0.091***	-0.103***	-0.135***	-0.102***	-0.135***
	[0.015]	[0.016]	[0.016]	[0.016]	[0.016]	[0.016]	[0.016]
black_female	-0.130***	0.059***	0.058***	0.045***	0.001	0.046***	0.001
	[0.015]	[0.014]	[0.014]	[0.015]	[0.015]	[0.015]	[0.015]
o._Iage_15	-	-	-	-	-	-	-
							
o._Iage_16	-	-	-	-	-	-	-
							
o._Iage_17	-	-	-	-	-	-	-
							
o._Iage_18	-	-	-	-	-	-	-
							
o._Iage_19	-	-	-	-	-	-	-
							
o._Iage_20	-	-	-	-	-	-	-
							
o._Iage_21	-	-	-	-	-	-	-
							
o._Iage_22	-	-	-	-	-	-	-
							
_Iage_23	-0.313***	-0.305***	-0.308***	-0.222***	-0.231***	-0.219***	-0.230***
	[0.079]	[0.075]	[0.075]	[0.076]	[0.075]	[0.076]	[0.075]
_Iage_24	-0.266***	-0.261***	-0.264***	-0.179**	-0.190**	-0.176**	-0.189**
	[0.078]	[0.074]	[0.074]	[0.075]	[0.074]	[0.075]	[0.074]
_Iage_25	-0.229***	-0.225***	-0.228***	-0.148**	-0.159**	-0.144*	-0.158**
	[0.077]	[0.073]	[0.073]	[0.074]	[0.073]	[0.074]	[0.073]
_Iage_26	-0.194***	-0.192***	-0.194***	-0.116	-0.127*	-0.113	-0.127*
	[0.075]	[0.072]	[0.072]	[0.073]	[0.072]	[0.073]	[0.072]
_Iage_27	-0.169**	-0.167**	-0.169**	-0.095	-0.106	-0.092	-0.105
	[0.074]	[0.071]	[0.071]	[0.072]	[0.070]	[0.072]	[0.070]
_Iage_28	-0.135*	-0.135*	-0.137**	-0.068	-0.079	-0.065	-0.079
	[0.073]	[0.069]	[0.069]	[0.070]	[0.069]	[0.070]	[0.069]
_Iage_29	-0.117	-0.116*	-0.119*	-0.053	-0.065	-0.051	-0.065
	[0.071]	[0.068]	[0.068]	[0.069]	[0.068]	[0.069]	[0.068]
_Iage_30	-0.104	-0.103	-0.106	-0.045	-0.056	-0.043	-0.055
	[0.070]	[0.067]	[0.067]	[0.068]	[0.067]	[0.068]	[0.067]
_Iage_31	-0.081	-0.079	-0.081	-0.025	-0.035	-0.022	-0.034
	[0.068]	[0.065]	[0.065]	[0.066]	[0.065]	[0.066]	[0.065]
_Iage_32	-0.086	-0.082	-0.084	-0.029	-0.037	-0.027	-0.037
	[0.067]	[0.064]	[0.064]	[0.065]	[0.064]	[0.065]	[0.064]
_Iage_33	-0.071	-0.067	-0.069	-0.020	-0.027	-0.018	-0.027
	[0.065]	[0.062]	[0.062]	[0.063]	[0.062]	[0.063]	[0.062]
_Iage_34	-0.063	-0.061	-0.063	-0.015	-0.023	-0.013	-0.023
	[0.063]	[0.061]	[0.061]	[0.061]	[0.061]	[0.061]	[0.061]
_Iage_35	-0.027	-0.024	-0.026	0.018	0.011	0.019	0.012
	[0.060]	[0.058]	[0.058]	[0.059]	[0.058]	[0.059]	[0.058]
_Iage_36	-0.017	-0.016	-0.018	0.022	0.016	0.024	0.016
	[0.059]	[0.057]	[0.057]	[0.057]	[0.057]	[0.057]	[0.057]
_Iage_37	-0.016	-0.010	-0.012	0.021	0.018	0.023	0.018
	[0.058]	[0.056]	[0.056]	[0.057]	[0.056]	[0.057]	[0.056]
_Iage_38	-0.000	0.000	-0.001	0.032	0.027	0.034	0.027
	[0.056]	[0.054]	[0.054]	[0.055]	[0.054]	[0.055]	[0.054]
_Iage_39	-0.018	-0.009	-0.011	0.016	0.015	0.017	0.015
	[0.055]	[0.053]	[0.053]	[0.054]	[0.054]	[0.054]	[0.054]
_Iage_40	0.013	0.016	0.014	0.040	0.036	0.041	0.037
	[0.052]	[0.051]	[0.051]	[0.052]	[0.051]	[0.052]	[0.051]
_Iage_41	-0.008	0.003	0.001	0.022	0.024	0.023	0.024
	[0.052]	[0.050]	[0.050]	[0.051]	[0.051]	[0.051]	[0.051]
_Iage_42	0.031	0.036	0.035	0.057	0.056	0.058	0.056
	[0.049]	[0.048]	[0.048]	[0.049]	[0.049]	[0.049]	[0.049]
_Iage_43	-0.020	-0.008	-0.010	0.003	0.009	0.004	0.009
	[0.050]	[0.049]	[0.049]	[0.050]	[0.050]	[0.050]	[0.050]
_Iage_44	0.034	0.042	0.041	0.054	0.054	0.055	0.054
	[0.046]	[0.046]	[0.046]	[0.046]	[0.046]	[0.046]	[0.046]
_Iage_45	0.005	0.015	0.013	0.019	0.026	0.019	0.026
	[0.051]	[0.050]	[0.050]	[0.050]	[0.050]	[0.050]	[0.050]
_Iage_46	0.030	0.038	0.037	0.045	0.048	0.046	0.048
	[0.040]	[0.040]	[0.040]	[0.040]	[0.040]	[0.040]	[0.040]
_Iage_47	0.021	0.036	0.034	0.035	0.045	0.035	0.045
	[0.057]	[0.056]	[0.056]	[0.057]	[0.057]	[0.057]	[0.057]
o._Iage_48	-	-	-	-	-	-	-
							
_Iage_49	-0.099	-0.083	-0.085	-0.076	-0.060	-0.077	-0.060
	[0.100]	[0.097]	[0.098]	[0.101]	[0.099]	[0.101]	[0.099]
o._Iage_50	-	-	-	-	-	-	-
							
o._Iage_51	-	-	-	-	-	-	-
							
o._Iage_52	-	-	-	-	-	-	-
							
o._Iage_53	-	-	-	-	-	-	-
							
o._Iage_54	-	-	-	-	-	-	-
							
o._Iage_55	-	-	-	-	-	-	-
							
o._Iyear_1980	-	-	-	-	-	-	-
							
_Iyear_1981	0.024	-0.008	-0.008	-0.010	-0.016	-0.011	-0.016
	[0.039]	[0.040]	[0.040]	[0.040]	[0.041]	[0.040]	[0.041]
_Iyear_1982	-0.044	-0.064	-0.063	-0.064	-0.069*	-0.064	-0.069*
	[0.039]	[0.039]	[0.039]	[0.040]	[0.041]	[0.040]	[0.041]
_Iyear_1983	-0.051	-0.071*	-0.070*	-0.067	-0.072*	-0.067	-0.072*
	[0.040]	[0.041]	[0.041]	[0.042]	[0.043]	[0.042]	[0.043]
_Iyear_1984	-0.076*	-0.093**	-0.093**	-0.089**	-0.094**	-0.089**	-0.094**
	[0.040]	[0.041]	[0.041]	[0.042]	[0.043]	[0.042]	[0.043]
_Iyear_1985	-0.062	-0.079*	-0.078*	-0.071*	-0.077*	-0.071*	-0.077*
	[0.040]	[0.041]	[0.041]	[0.042]	[0.043]	[0.042]	[0.043]
_Iyear_1986	-0.059	-0.075*	-0.075*	-0.064	-0.071	-0.064	-0.071
	[0.041]	[0.042]	[0.041]	[0.042]	[0.044]	[0.043]	[0.044]
_Iyear_1987	-0.009	-0.029	-0.029	-0.013	-0.023	-0.012	-0.023
	[0.041]	[0.042]	[0.042]	[0.043]	[0.044]	[0.043]	[0.044]
_Iyear_1988	0.005	-0.011	-0.011	0.010	-0.001	0.010	-0.001
	[0.042]	[0.043]	[0.043]	[0.044]	[0.045]	[0.044]	[0.045]
_Iyear_1989	-0.016	-0.033	-0.034	-0.009	-0.020	-0.008	-0.020
	[0.043]	[0.044]	[0.044]	[0.045]	[0.046]	[0.045]	[0.046]
_Iyear_1990	-0.016	-0.034	-0.035	-0.005	-0.017	-0.004	-0.017
	[0.044]	[0.045]	[0.045]	[0.046]	[0.047]	[0.046]	[0.047]
_Iyear_1991	-0.027	-0.048	-0.049	-0.017	-0.031	-0.016	-0.031
	[0.045]	[0.046]	[0.045]	[0.047]	[0.048]	[0.047]	[0.048]
_Iyear_1992	-0.024	-0.047	-0.047	-0.011	-0.027	-0.010	-0.027
	[0.046]	[0.047]	[0.047]	[0.048]	[0.049]	[0.048]	[0.049]
_Iyear_1993	-0.492***	-0.518***	-0.519***	-0.479***	-0.495***	-0.478***	-0.495***
	[0.047]	[0.048]	[0.047]	[0.049]	[0.050]	[0.049]	[0.050]
_Iyear_1994	0.002	-0.026	-0.027	0.017	-0.001	0.019	-0.001
	[0.048]	[0.049]	[0.049]	[0.050]	[0.051]	[0.050]	[0.051]
_Iyear_1996	0.008	-0.016	-0.017	0.036	0.016	0.038	0.017
	[0.051]	[0.051]	[0.051]	[0.053]	[0.054]	[0.053]	[0.054]
_Iyear_1998	0.062	0.032	0.031	0.090	0.067	0.092	0.067
	[0.055]	[0.055]	[0.054]	[0.056]	[0.057]	[0.056]	[0.057]
_Iyear_2000	0.047	0.027	0.026	0.093	0.073	0.095	0.074
	[0.059]	[0.058]	[0.058]	[0.060]	[0.061]	[0.060]	[0.061]
_Iyear_2002	0.087	0.062	0.061	0.135**	0.111*	0.137**	0.111*
	[0.064]	[0.062]	[0.062]	[0.064]	[0.064]	[0.064]	[0.064]
_Iyear_2004	0.063	0.033	0.032	0.113*	0.086	0.116*	0.086
	[0.068]	[0.066]	[0.066]	[0.068]	[0.068]	[0.068]	[0.068]
_Iyear_2006	0.083	0.055	0.054	0.142*	0.115	0.146**	0.115
	[0.074]	[0.071]	[0.071]	[0.073]	[0.073]	[0.074]	[0.074]
o._Iyear_2008	-	-	-	-	-	-	-
							
o._Iyear_2010	-	-	-	-	-	-	-
							
o._Iyear_2012	-	-	-	-	-	-	-
							
_Iarea_2	-0.145***	-0.138***	-0.137***	-0.129***	-0.119***	-0.129***	-0.119***
	[0.016]	[0.015]	[0.015]	[0.016]	[0.015]	[0.016]	[0.015]
_Iarea_3	-0.126***	-0.100***	-0.099***	-0.099***	-0.103***	-0.099***	-0.103***
	[0.015]	[0.014]	[0.014]	[0.015]	[0.014]	[0.015]	[0.014]
_Iarea_4	-0.048***	-0.044**	-0.041**	-0.041**	-0.038**	-0.041**	-0.038**
	[0.018]	[0.017]	[0.017]	[0.018]	[0.017]	[0.018]	[0.017]
_Imetro_1	0.160***	0.145***	0.145***	0.140***	0.136***	0.141***	0.136***
	[0.013]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]
_Imetro_2	0.170***	0.143***	0.143***	0.139***	0.128***	0.139***	0.128***
	[0.015]	[0.014]	[0.014]	[0.014]	[0.014]	[0.014]	[0.014]
_Imetro_3	0.149***	0.122***	0.121***	0.113***	0.099***	0.113***	0.099***
	[0.017]	[0.016]	[0.016]	[0.016]	[0.016]	[0.016]	[0.016]
_Imetro_4	0.244***	0.234***	0.233***	0.221***	0.206***	0.221***	0.206***
	[0.063]	[0.061]	[0.061]	[0.062]	[0.061]	[0.062]	[0.061]
_Iurban_1	0.089***	0.064***	0.064***	0.059***	0.046***	0.059***	0.046***
	[0.012]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]
_Iurban_2	0.008	-0.012	-0.011	-0.009	-0.023	-0.009	-0.023
	[0.039]	[0.037]	[0.037]	[0.038]	[0.038]	[0.038]	[0.038]
afqt_noncog						0.009*	0.002
						[0.005]	[0.005]
							
Observations	109,404	109,404	109,404	105,722	105,722	105,722	105,722
R-squared	0.209	0.271	0.272	0.276	0.295	0.276	0.295
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.10							
