	(1)	(2)	(3)	(4)	(5)	(6)	(7)
	[0.012]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]
hisp_male	-0.171***	-0.013	-0.012	-0.007	-0.011	-0.007	-0.011
	[0.018]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]
hisp_female	-0.067***	0.089***	0.088***	0.085***	0.068***	0.084***	0.068***
	[0.018]	[0.016]	[0.016]	[0.017]	[0.016]	[0.017]	[0.016]
black_male	-0.298***	-0.070***	-0.068***	-0.080***	-0.112***	-0.080***	-0.112***
	[0.015]	[0.015]	[0.014]	[0.015]	[0.015]	[0.015]	[0.015]
black_female	-0.117***	0.081***	0.082***	0.068***	0.021	0.069***	0.021
	[0.015]	[0.014]	[0.014]	[0.014]	[0.014]	[0.014]	[0.014]
o._Iage_15	-	-	-	-	-	-	-
							
o._Iage_16	-	-	-	-	-	-	-
							
o._Iage_17	-	-	-	-	-	-	-
							
o._Iage_18	-	-	-	-	-	-	-
							
o._Iage_19	-	-	-	-	-	-	-
							
o._Iage_20	-	-	-	-	-	-	-
							
o._Iage_21	-	-	-	-	-	-	-
							
o._Iage_22	-	-	-	-	-	-	-
							
o._Iage_23	-	-	-	-	-	-	-
							
o._Iage_24	-	-	-	-	-	-	-
							
_Iage_25	-0.201**	-0.211**	-0.209**	-0.200***	-0.182***	-0.197***	-0.182***
	[0.086]	[0.082]	[0.082]	[0.058]	[0.057]	[0.058]	[0.057]
_Iage_26	-0.159*	-0.172**	-0.170**	-0.163***	-0.147***	-0.160***	-0.148***
	[0.086]	[0.082]	[0.082]	[0.057]	[0.056]	[0.057]	[0.056]
_Iage_27	-0.130	-0.145*	-0.143*	-0.139**	-0.125**	-0.137**	-0.126**
	[0.085]	[0.081]	[0.081]	[0.056]	[0.055]	[0.056]	[0.055]
_Iage_28	-0.103	-0.120	-0.118	-0.119**	-0.107**	-0.117**	-0.108**
	[0.084]	[0.080]	[0.081]	[0.055]	[0.054]	[0.055]	[0.054]
_Iage_29	-0.085	-0.101	-0.099	-0.104*	-0.094*	-0.102*	-0.094*
	[0.084]	[0.080]	[0.080]	[0.054]	[0.053]	[0.054]	[0.053]
_Iage_30	-0.066	-0.083	-0.082	-0.091*	-0.081	-0.089*	-0.081
	[0.083]	[0.079]	[0.079]	[0.053]	[0.053]	[0.053]	[0.053]
_Iage_31	-0.042	-0.057	-0.056	-0.070	-0.061	-0.069	-0.061
	[0.082]	[0.078]	[0.079]	[0.052]	[0.051]	[0.052]	[0.051]
_Iage_32	-0.039	-0.053	-0.051	-0.068	-0.058	-0.067	-0.058
	[0.081]	[0.078]	[0.078]	[0.051]	[0.050]	[0.051]	[0.050]
_Iage_33	-0.026	-0.037	-0.036	-0.059	-0.048	-0.057	-0.048
	[0.080]	[0.077]	[0.077]	[0.049]	[0.049]	[0.049]	[0.049]
_Iage_34	-0.015	-0.027	-0.026	-0.050	-0.040	-0.048	-0.040
	[0.080]	[0.076]	[0.076]	[0.048]	[0.048]	[0.048]	[0.048]
_Iage_35	0.013	0.004	0.005	-0.024	-0.014	-0.022	-0.015
	[0.078]	[0.075]	[0.076]	[0.046]	[0.046]	[0.046]	[0.046]
_Iage_36	0.021	0.010	0.011	-0.020	-0.011	-0.019	-0.011
	[0.078]	[0.075]	[0.075]	[0.045]	[0.045]	[0.045]	[0.045]
_Iage_37	0.031	0.024	0.025	-0.012	-0.002	-0.011	-0.002
	[0.077]	[0.074]	[0.074]	[0.045]	[0.045]	[0.045]	[0.045]
_Iage_38	0.034	0.027	0.028	-0.011	-0.002	-0.010	-0.002
	[0.076]	[0.074]	[0.074]	[0.043]	[0.043]	[0.043]	[0.043]
_Iage_39	0.029	0.025	0.026	-0.018	-0.007	-0.017	-0.007
	[0.075]	[0.072]	[0.072]	[0.043]	[0.043]	[0.043]	[0.043]
_Iage_40	0.047	0.042	0.043	-0.004	0.006	-0.003	0.006
	[0.075]	[0.072]	[0.072]	[0.041]	[0.041]	[0.041]	[0.041]
_Iage_41	0.033	0.033	0.034	-0.018	-0.006	-0.017	-0.006
	[0.073]	[0.070]	[0.071]	[0.040]	[0.040]	[0.040]	[0.040]
_Iage_42	0.072	0.071	0.072	0.021	0.030	0.022	0.030
	[0.073]	[0.071]	[0.071]	[0.038]	[0.038]	[0.038]	[0.038]
_Iage_43	0.035	0.037	0.038	-0.021	-0.007	-0.021	-0.007
	[0.072]	[0.070]	[0.070]	[0.039]	[0.039]	[0.039]	[0.039]
_Iage_44	0.083	0.085	0.087	0.028	0.036	0.028	0.036
	[0.073]	[0.070]	[0.071]	[0.036]	[0.037]	[0.036]	[0.037]
_Iage_45	0.041	0.040	0.041	-0.029	-0.013	-0.028	-0.013
	[0.071]	[0.069]	[0.069]	[0.039]	[0.040]	[0.039]	[0.040]
_Iage_46	0.075	0.079	0.081	0.013	0.022	0.013	0.022
	[0.073]	[0.071]	[0.071]	[0.033]	[0.033]	[0.033]	[0.033]
_Iage_47	0.083	0.084	0.085	0.011	0.023	0.011	0.023
	[0.068]	[0.066]	[0.066]	[0.044]	[0.044]	[0.044]	[0.044]
o._Iage_48				-	-	-	-
							
_Iage_49				-0.078	-0.062	-0.079	-0.061
				[0.077]	[0.076]	[0.077]	[0.076]
o._Iage_50	-	-	-	-	-	-	-
							
o._Iage_51	-	-	-	-	-	-	-
							
o._Iage_52	-	-	-	-	-	-	-
							
o._Iage_53	-	-	-	-	-	-	-
							
o._Iage_54	-	-	-	-	-	-	-
							
o._Iage_55	-	-	-	-	-	-	-
							
o._Iyear_1980	-	-	-	-	-	-	-
							
o._Iyear_1981	-	-	-	-	-	-	-
							
o._Iyear_1982				-	-	-	-
							
_Iyear_1983	-0.107**	-0.092**	-0.092**	-0.018	-0.020	-0.018	-0.020
	[0.048]	[0.044]	[0.044]	[0.032]	[0.032]	[0.032]	[0.032]
_Iyear_1984	-0.133***	-0.117***	-0.118***	-0.042	-0.039	-0.041	-0.039
	[0.046]	[0.042]	[0.042]	[0.032]	[0.033]	[0.032]	[0.033]
_Iyear_1985	-0.115**	-0.093**	-0.093**	-0.012	-0.015	-0.011	-0.015
	[0.045]	[0.041]	[0.041]	[0.032]	[0.033]	[0.032]	[0.033]
_Iyear_1986	-0.101**	-0.076*	-0.076*	0.009	0.008	0.010	0.008
	[0.044]	[0.040]	[0.040]	[0.032]	[0.033]	[0.032]	[0.033]
_Iyear_1987	-0.059	-0.036	-0.037	0.052	0.049	0.053	0.049
	[0.043]	[0.039]	[0.039]	[0.032]	[0.033]	[0.032]	[0.033]
_Iyear_1988	-0.050	-0.023	-0.023	0.071**	0.069**	0.072**	0.069**
	[0.042]	[0.038]	[0.038]	[0.033]	[0.034]	[0.033]	[0.034]
_Iyear_1989	-0.075*	-0.051	-0.051	0.047	0.046	0.048	0.046
	[0.041]	[0.037]	[0.037]	[0.033]	[0.034]	[0.033]	[0.034]
_Iyear_1990	-0.085**	-0.059*	-0.059*	0.044	0.043	0.045	0.043
	[0.039]	[0.036]	[0.036]	[0.033]	[0.034]	[0.034]	[0.034]
_Iyear_1991	-0.080**	-0.064*	-0.064*	0.043	0.039	0.044	0.038
	[0.038]	[0.035]	[0.035]	[0.034]	[0.035]	[0.034]	[0.035]
_Iyear_1992	-0.089**	-0.075**	-0.074**	0.037	0.034	0.039	0.033
	[0.037]	[0.034]	[0.034]	[0.035]	[0.036]	[0.035]	[0.036]
_Iyear_1993	-0.555***	-0.543***	-0.542***	-0.428***	-0.430***	-0.426***	-0.431***
	[0.035]	[0.032]	[0.032]	[0.035]	[0.036]	[0.036]	[0.036]
_Iyear_1994	-0.064*	-0.054*	-0.054*	0.065*	0.061*	0.066*	0.061
	[0.033]	[0.031]	[0.031]	[0.036]	[0.037]	[0.037]	[0.037]
_Iyear_1996	-0.067**	-0.055**	-0.055**	0.073*	0.070*	0.075*	0.069*
	[0.030]	[0.027]	[0.027]	[0.038]	[0.039]	[0.038]	[0.039]
_Iyear_1998	-0.023	-0.020	-0.019	0.114***	0.110***	0.116***	0.110***
	[0.025]	[0.024]	[0.024]	[0.041]	[0.041]	[0.041]	[0.041]
_Iyear_2000	-0.022	-0.010	-0.010	0.132***	0.132***	0.134***	0.131***
	[0.021]	[0.020]	[0.020]	[0.043]	[0.044]	[0.043]	[0.044]
_Iyear_2002	0.007	0.014	0.014	0.164***	0.162***	0.166***	0.161***
	[0.017]	[0.016]	[0.016]	[0.046]	[0.046]	[0.046]	[0.046]
_Iyear_2004	-0.007	-0.008	-0.008	0.150***	0.146***	0.152***	0.146***
	[0.013]	[0.012]	[0.012]	[0.049]	[0.049]	[0.049]	[0.049]
_Iyear_2006				0.165***	0.163***	0.168***	0.162***
				[0.053]	[0.053]	[0.053]	[0.053]
o._Iyear_2008	-	-	-	-	-	-	-
							
o._Iyear_2010	-	-	-	-	-	-	-
							
o._Iyear_2012	-	-	-	-	-	-	-
							
_Iarea_2	-0.159***	-0.152***	-0.152***	-0.145***	-0.137***	-0.145***	-0.137***
	[0.014]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]
_Iarea_3	-0.157***	-0.129***	-0.129***	-0.127***	-0.133***	-0.127***	-0.133***
	[0.013]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]
_Iarea_4	-0.053***	-0.047***	-0.046***	-0.044***	-0.041***	-0.044***	-0.041***
	[0.015]	[0.014]	[0.014]	[0.014]	[0.014]	[0.014]	[0.014]
_Imetro_1	0.172***	0.145***	0.146***	0.141***	0.134***	0.142***	0.134***
	[0.011]	[0.010]	[0.010]	[0.010]	[0.010]	[0.010]	[0.010]
_Imetro_2	0.164***	0.129***	0.130***	0.126***	0.116***	0.126***	0.116***
	[0.012]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]
_Imetro_3	0.134***	0.105***	0.106***	0.099***	0.087***	0.099***	0.086***
	[0.014]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]
_Imetro_4	0.237***	0.208***	0.208***	0.205***	0.184***	0.206***	0.184***
	[0.055]	[0.051]	[0.051]	[0.052]	[0.051]	[0.052]	[0.051]
_Iurban_1	0.091***	0.064***	0.063***	0.059***	0.044***	0.059***	0.044***
	[0.010]	[0.009]	[0.009]	[0.009]	[0.009]	[0.009]	[0.009]
_Iurban_2	-0.022	-0.038	-0.037	-0.035	-0.052	-0.035	-0.052
	[0.035]	[0.033]	[0.033]	[0.033]	[0.033]	[0.033]	[0.033]
_Iage_48	0.074	0.073	0.075				
	[0.077]	[0.074]	[0.075]				
o._Iage_49	-	-	-				
							
_Iyear_1982	-0.084	-0.082	-0.082				
	[0.055]	[0.052]	[0.052]				
o._Iyear_2006	-	-	-				
							
afqt_noncog						0.005	-0.001
						[0.004]	[0.004]
							
Observations	94,867	94,867	94,867	91,671	91,671	91,671	91,671
R-squared	0.198	0.275	0.275	0.280	0.301	0.280	0.301
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.10							
