	(1)	(2)	(3)	(4)	(5)	(6)	(7)
	[0.014]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]
hisp_male	-0.173***	-0.020	-0.021	-0.018	-0.024	-0.019	-0.025
	[0.020]	[0.019]	[0.019]	[0.020]	[0.019]	[0.020]	[0.019]
hisp_female	-0.068***	0.092***	0.088***	0.085***	0.068***	0.084***	0.068***
	[0.020]	[0.018]	[0.018]	[0.018]	[0.018]	[0.018]	[0.018]
black_male	-0.326***	-0.095***	-0.094***	-0.105***	-0.140***	-0.104***	-0.140***
	[0.016]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]
black_female	-0.130***	0.067***	0.066***	0.054***	0.005	0.055***	0.005
	[0.016]	[0.015]	[0.015]	[0.016]	[0.016]	[0.016]	[0.016]
o._Iage_15	-	-	-	-	-	-	-
							
o._Iage_16	-	-	-	-	-	-	-
							
o._Iage_17	-	-	-	-	-	-	-
							
o._Iage_18	-	-	-	-	-	-	-
							
o._Iage_19	-	-	-	-	-	-	-
							
o._Iage_20	-	-	-	-	-	-	-
							
o._Iage_21	-	-	-	-	-	-	-
							
o._Iage_22	-	-	-	-	-	-	-
							
o._Iage_23	-	-	-	-	-	-	-
							
o._Iage_24	-	-	-	-	-	-	-
							
_Iage_25	-0.229***	-0.225***	-0.227***	-0.149**	-0.160**	-0.145*	-0.159**
	[0.077]	[0.073]	[0.073]	[0.074]	[0.073]	[0.074]	[0.073]
_Iage_26	-0.195***	-0.192***	-0.195***	-0.118	-0.130*	-0.115	-0.129*
	[0.075]	[0.072]	[0.072]	[0.073]	[0.072]	[0.073]	[0.072]
_Iage_27	-0.170**	-0.168**	-0.171**	-0.097	-0.109	-0.094	-0.108
	[0.074]	[0.070]	[0.070]	[0.072]	[0.070]	[0.072]	[0.070]
_Iage_28	-0.137*	-0.137**	-0.139**	-0.070	-0.082	-0.067	-0.082
	[0.073]	[0.069]	[0.069]	[0.070]	[0.069]	[0.070]	[0.069]
_Iage_29	-0.118*	-0.117*	-0.120*	-0.056	-0.068	-0.053	-0.067
	[0.071]	[0.068]	[0.068]	[0.069]	[0.068]	[0.069]	[0.068]
_Iage_30	-0.105	-0.104	-0.107	-0.047	-0.058	-0.044	-0.057
	[0.070]	[0.067]	[0.067]	[0.068]	[0.067]	[0.068]	[0.067]
_Iage_31	-0.082	-0.079	-0.081	-0.026	-0.036	-0.023	-0.036
	[0.068]	[0.065]	[0.065]	[0.066]	[0.065]	[0.066]	[0.065]
_Iage_32	-0.087	-0.083	-0.085	-0.031	-0.039	-0.028	-0.038
	[0.067]	[0.064]	[0.064]	[0.065]	[0.064]	[0.065]	[0.064]
_Iage_33	-0.072	-0.067	-0.069	-0.022	-0.029	-0.020	-0.028
	[0.065]	[0.062]	[0.062]	[0.063]	[0.062]	[0.063]	[0.062]
_Iage_34	-0.064	-0.062	-0.064	-0.017	-0.025	-0.014	-0.024
	[0.063]	[0.060]	[0.060]	[0.061]	[0.061]	[0.061]	[0.060]
_Iage_35	-0.028	-0.024	-0.027	0.016	0.010	0.018	0.010
	[0.060]	[0.058]	[0.058]	[0.059]	[0.058]	[0.059]	[0.058]
_Iage_36	-0.018	-0.017	-0.019	0.021	0.014	0.023	0.015
	[0.059]	[0.057]	[0.057]	[0.057]	[0.057]	[0.057]	[0.057]
_Iage_37	-0.017	-0.010	-0.013	0.020	0.017	0.022	0.017
	[0.058]	[0.056]	[0.056]	[0.057]	[0.056]	[0.057]	[0.056]
_Iage_38	-0.001	-0.000	-0.002	0.031	0.026	0.033	0.026
	[0.056]	[0.054]	[0.054]	[0.055]	[0.054]	[0.055]	[0.054]
_Iage_39	-0.019	-0.010	-0.012	0.015	0.014	0.016	0.014
	[0.055]	[0.053]	[0.053]	[0.054]	[0.054]	[0.054]	[0.054]
_Iage_40	0.013	0.015	0.013	0.039	0.035	0.040	0.036
	[0.052]	[0.051]	[0.051]	[0.052]	[0.051]	[0.052]	[0.051]
_Iage_41	-0.009	0.003	0.001	0.022	0.024	0.022	0.024
	[0.052]	[0.050]	[0.050]	[0.051]	[0.051]	[0.051]	[0.051]
_Iage_42	0.030	0.036	0.034	0.056	0.055	0.057	0.055
	[0.049]	[0.048]	[0.048]	[0.049]	[0.049]	[0.049]	[0.049]
_Iage_43	-0.021	-0.008	-0.010	0.003	0.009	0.003	0.009
	[0.050]	[0.049]	[0.049]	[0.050]	[0.050]	[0.050]	[0.050]
_Iage_44	0.033	0.042	0.041	0.053	0.054	0.054	0.054
	[0.046]	[0.046]	[0.046]	[0.046]	[0.046]	[0.046]	[0.046]
_Iage_45	0.005	0.014	0.013	0.018	0.026	0.018	0.026
	[0.051]	[0.049]	[0.049]	[0.050]	[0.050]	[0.050]	[0.050]
_Iage_46	0.029	0.038	0.037	0.045	0.048	0.046	0.048
	[0.040]	[0.040]	[0.040]	[0.040]	[0.040]	[0.040]	[0.040]
_Iage_47	0.020	0.035	0.034	0.035	0.045	0.035	0.045
	[0.057]	[0.056]	[0.056]	[0.057]	[0.057]	[0.057]	[0.057]
o._Iage_48	-	-	-	-	-	-	-
							
_Iage_49	-0.100	-0.083	-0.085	-0.076	-0.058	-0.077	-0.058
	[0.100]	[0.098]	[0.098]	[0.101]	[0.099]	[0.101]	[0.099]
o._Iage_50	-	-	-	-	-	-	-
							
o._Iage_51	-	-	-	-	-	-	-
							
o._Iage_52	-	-	-	-	-	-	-
							
o._Iage_53	-	-	-	-	-	-	-
							
o._Iage_54	-	-	-	-	-	-	-
							
o._Iage_55	-	-	-	-	-	-	-
							
o._Iyear_1980	-	-	-	-	-	-	-
							
o._Iyear_1981	-	-	-	-	-	-	-
							
o._Iyear_1982	-	-	-	-	-	-	-
							
_Iyear_1983	0.015	0.012	0.012	0.004	0.002	0.005	0.002
	[0.046]	[0.048]	[0.048]	[0.049]	[0.050]	[0.049]	[0.050]
_Iyear_1984	-0.019	-0.017	-0.018	-0.023	-0.023	-0.023	-0.023
	[0.047]	[0.048]	[0.048]	[0.050]	[0.051]	[0.050]	[0.051]
_Iyear_1985	0.008	0.011	0.010	0.007	0.008	0.007	0.008
	[0.046]	[0.048]	[0.048]	[0.049]	[0.051]	[0.050]	[0.051]
_Iyear_1986	0.007	0.011	0.011	0.009	0.010	0.009	0.010
	[0.047]	[0.049]	[0.049]	[0.050]	[0.052]	[0.051]	[0.052]
_Iyear_1987	0.061	0.061	0.060	0.063	0.059	0.064	0.059
	[0.047]	[0.049]	[0.049]	[0.051]	[0.052]	[0.051]	[0.052]
_Iyear_1988	0.071	0.075	0.075	0.083	0.079	0.084	0.079
	[0.048]	[0.050]	[0.050]	[0.052]	[0.053]	[0.052]	[0.053]
_Iyear_1989	0.049	0.050	0.049	0.061	0.057	0.062	0.057
	[0.048]	[0.050]	[0.050]	[0.052]	[0.053]	[0.052]	[0.053]
_Iyear_1990	0.050	0.052	0.051	0.068	0.062	0.069	0.062
	[0.049]	[0.051]	[0.051]	[0.052]	[0.054]	[0.053]	[0.054]
_Iyear_1991	0.040	0.037	0.036	0.056	0.047	0.058	0.048
	[0.049]	[0.052]	[0.052]	[0.053]	[0.055]	[0.054]	[0.055]
_Iyear_1992	0.043	0.039	0.038	0.062	0.051	0.064	0.052
	[0.051]	[0.053]	[0.053]	[0.055]	[0.056]	[0.055]	[0.056]
_Iyear_1993	-0.426***	-0.433***	-0.434***	-0.407***	-0.417***	-0.405***	-0.417***
	[0.051]	[0.053]	[0.053]	[0.055]	[0.057]	[0.056]	[0.057]
_Iyear_1994	0.068	0.059	0.058	0.089	0.077	0.091	0.077
	[0.053]	[0.055]	[0.055]	[0.057]	[0.058]	[0.057]	[0.058]
_Iyear_1996	0.074	0.069	0.068	0.108*	0.094	0.110*	0.095
	[0.055]	[0.057]	[0.057]	[0.059]	[0.061]	[0.059]	[0.061]
_Iyear_1998	0.130**	0.118**	0.116*	0.163***	0.145**	0.165***	0.146**
	[0.058]	[0.059]	[0.059]	[0.062]	[0.063]	[0.062]	[0.063]
_Iyear_2000	0.111*	0.111*	0.109*	0.163**	0.149**	0.166**	0.150**
	[0.062]	[0.063]	[0.063]	[0.065]	[0.066]	[0.065]	[0.066]
_Iyear_2002	0.152**	0.146**	0.144**	0.204***	0.187***	0.208***	0.187***
	[0.065]	[0.066]	[0.066]	[0.068]	[0.069]	[0.068]	[0.069]
_Iyear_2004	0.127*	0.116*	0.114	0.182**	0.161**	0.186***	0.162**
	[0.070]	[0.069]	[0.069]	[0.072]	[0.072]	[0.072]	[0.073]
_Iyear_2006	0.148**	0.138*	0.136*	0.212***	0.190**	0.216***	0.191**
	[0.075]	[0.074]	[0.074]	[0.077]	[0.077]	[0.077]	[0.077]
o._Iyear_2008	-	-	-	-	-	-	-
							
o._Iyear_2010	-	-	-	-	-	-	-
							
o._Iyear_2012	-	-	-	-	-	-	-
							
_Iarea_2	-0.154***	-0.146***	-0.145***	-0.137***	-0.127***	-0.137***	-0.127***
	[0.017]	[0.016]	[0.016]	[0.017]	[0.016]	[0.017]	[0.016]
_Iarea_3	-0.135***	-0.108***	-0.108***	-0.107***	-0.112***	-0.108***	-0.112***
	[0.017]	[0.016]	[0.015]	[0.016]	[0.015]	[0.016]	[0.015]
_Iarea_4	-0.053***	-0.050***	-0.047**	-0.047**	-0.044**	-0.047**	-0.044**
	[0.020]	[0.018]	[0.018]	[0.019]	[0.018]	[0.019]	[0.018]
_Imetro_1	0.169***	0.154***	0.154***	0.149***	0.143***	0.149***	0.143***
	[0.014]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]
_Imetro_2	0.181***	0.152***	0.152***	0.148***	0.135***	0.148***	0.135***
	[0.016]	[0.015]	[0.015]	[0.015]	[0.015]	[0.015]	[0.015]
_Imetro_3	0.155***	0.126***	0.125***	0.118***	0.101***	0.118***	0.101***
	[0.018]	[0.017]	[0.017]	[0.018]	[0.017]	[0.017]	[0.017]
_Imetro_4	0.255***	0.243***	0.242***	0.231***	0.213***	0.231***	0.213***
	[0.063]	[0.061]	[0.061]	[0.062]	[0.061]	[0.062]	[0.061]
_Iurban_1	0.092***	0.066***	0.065***	0.061***	0.046***	0.061***	0.046***
	[0.012]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]
_Iurban_2	0.010	-0.012	-0.010	-0.007	-0.024	-0.008	-0.024
	[0.039]	[0.037]	[0.037]	[0.038]	[0.038]	[0.038]	[0.038]
afqt_noncog						0.011*	0.002
						[0.006]	[0.006]
							
Observations	94,867	94,867	94,867	91,671	91,671	91,671	91,671
R-squared	0.207	0.271	0.272	0.276	0.297	0.276	0.297
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.10							
